Num,Brand,Model_Name,Processor,Operating_System,Storage_MB,RAM_GB,Screen_Size,Touch_Screen,Price
0,HP,15s-fq5007TU,Core i3,Windows 11 Home,512,8,39.62,No,467.88
1,HP,15s-fy5003TU,Core i3,Windows 11 Home,512,8,39.62,No,455.88
2,Apple,2020 Macbook Air,M1,Mac OS Big Sur,256,8,33.78,No,851.88
3,Apple,2020 Macbook Air,M1,Mac OS Big Sur,256,8,33.78,No,851.88
4,Apple,2020 Macbook Air,M1,Mac OS Big Sur,256,8,33.78,No,851.88
5,Lenovo,V15 G3 IAP,Core i7,Windows 11 Home,512,16,39.62,No,599.88
6,ASUS,X515EA-EJ522WS,Core i5,Windows 11 Home,-1,8,39.62,No,491.88
7,HP,15s- fr4000TU,Core i5,Windows 11 Home,512,8,39.62,No,563.88
8,ASUS,X1500EA-EJ311W,Core i3,Windows 11 Home,256,8,39.62,No,335.88
9,HP,15-fb0147AX,Ryzen 5 Hexa Core,Windows 11 Home,512,8,39.62,No,551.88
10,HP,15s- fr5011TU,Core i5,Windows 11 Home,512,16,39.62,No,647.88
11,HP,14-dv2153TU,Core i5,Windows 11 Home,1000,16,35.56,No,803.98
12,DELL,New Inspiron 15 Laptop,Core i5,Windows 11 Home,512,8,39.62,No,551.98
13,ASUS,Gaming F15,Core i5,Windows 11 Home,2000,8,39.62,No,575.88
14,ASUS,E510MA-EJ001W,Celeron Dual Core,Windows 11 Home,256,4,39.62,No,239.88
15,HP,15s-fy5002TU,Core i5,Windows 11 Home,512,8,39.62,No,599.88
16,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512,16,39.62,No,935.88
17,Lenovo,Lenovo V15,Celeron Dual Core,Windows 11 Home,-1,8,39.62,No,275.88
18,Acer,EX215-23,Ryzen 5 Quad Core,Windows 11 Home,512,8,39.62,No,359.88
19,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512,16,35.56,No,659.88
20,HP,15-eg3079TU,Core i5,Windows 11 Home,512,16,39.62,No,803.88
21,DELL,Inspiron 3520,Core i3,Windows 11 Home,512,8,39.62,No,431.75
22,SAMSUNG,NP550,Core i5,Windows 11 Home,512,16,39.62,No,575.88
23,ASUS,K3504VAB-NJ322WS,Core i3,Windows 11 Home,512,8,39.62,No,479.88
24,HP,15s-fq5007TU,Core i3,Windows 11 Home,512,8,39.62,No,467.88
25,HP,15s-fy5003TU,Core i3,Windows 11 Home,512,8,39.62,No,455.88
26,DELL,Inspiron 3520,Core i3,Windows 11 Home,512,8,96.52,No,437.75
27,Lenovo,15IAU7,Core i3,Windows 11 Home,512,8,100.63,No,431.88
28,HP,15s- fr4000TU,Core i5,Windows 11 Home,512,8,39.62,No,563.88
29,HP,15s- fr5011TU,Core i5,Windows 11 Home,512,16,39.62,No,647.88
